0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:20 +0900] "GET /Css/html/boostcourse/project-A1/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1174
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:24 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:24 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:46 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:46 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:48 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:48 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:58 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:58 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:49:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:50:05 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:50:05 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:50:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:53:14 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:53:14 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:53:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:43 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:43 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:49 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:49 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:57:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:58:18 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 382
